Tackles,,,,,Challenges,,,,Blocks,,,,,,,,,,,Receiving,,,,,,,,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,24,19,296,166,121,120,55,127,233,54.5,106,165,48,117,133,429,440,8,411,287,118,275,150,8365,832,2.95,1.8,1.18,2.98,1.67,2.86
Aston Villa,26,19,293,171,141,125,27,145,280,51.8,135,205,82,123,107,400,443,20,265,193,67,244,224,7079,624,2.63,1.14,0.85,1.98,1.14,1.98
Bournemouth,24,19,331,197,154,124,53,175,321,54.5,146,223,66,157,173,504,591,10,365,282,97,306,156,6789,732,2.16,1.55,0.91,2.45,1.42,2.33
Brentford,21,19,302,180,118,134,50,141,271,52,130,219,84,135,168,470,614,11,225,156,70,308,162,5990,546,1.89,1.48,0.91,2.39,1.19,2.1
Brighton,25,19,348,219,141,144,63,169,356,47.5,187,204,57,147,151,499,450,14,389,242,106,324,194,7665,703,2.05,1.59,1.03,2.62,1.39,2.42
Burnley,24,19,326,188,145,143,38,151,277,54.5,126,236,78,158,185,511,613,18,195,151,54,277,159,5886,491,1.68,0.91,0.64,1.55,0.83,1.47
Chelsea,25,19,306,189,131,120,55,151,257,58.8,106,163,46,117,189,495,424,14,400,243,124,310,159,8914,783,2.84,1.71,1.36,3.07,1.63,2.99
Crystal Palace,23,19,367,234,184,137,46,164,304,53.9,140,211,53,158,172,539,657,13,251,184,59,275,158,5880,614,1.53,1.64,1.05,2.69,1.47,2.53
Everton,20,19,338,196,165,124,49,165,303,54.5,138,243,91,152,153,491,606,20,273,222,83,329,165,5943,594,1.79,1.15,0.88,2.03,1.11,1.99
Fulham,23,19,331,187,171,123,37,160,268,59.7,108,188,67,121,154,485,562,13,345,235,83,284,157,7864,717,2,1.14,0.84,1.97,1.1,1.93
Leeds United,23,19,340,209,149,139,52,171,313,54.6,142,199,59,140,166,506,534,7,271,192,74,290,158,6569,567,1.74,1.41,0.84,2.25,1.28,2.12
Liverpool,23,19,253,165,111,102,40,127,239,53.1,112,204,58,146,124,377,538,15,440,309,129,303,149,9380,1005,2.53,1.59,1.24,2.83,1.55,2.79
Manchester City,24,19,263,160,112,105,46,126,226,55.8,100,163,52,111,146,409,486,18,510,382,169,268,179,9889,805,3.79,1.89,1.58,3.48,1.81,3.4
Manchester Utd,26,19,349,201,146,144,59,168,315,53.3,147,189,55,134,149,498,509,12,365,249,109,315,166,7462,778,2.58,1.77,1.16,2.93,1.61,2.78
Newcastle Utd,24,19,262,171,108,125,29,125,268,46.6,143,193,56,137,141,403,534,15,316,208,78,280,159,7564,840,1.89,1.4,1,2.4,1.28,2.27
Nott'ham Forest,27,19,330,199,154,107,69,171,324,52.8,153,219,79,140,146,476,448,20,335,262,73,318,153,7493,811,1.47,1.17,0.89,2.06,1.13,2.02
Sunderland,26,19,319,182,173,111,35,183,311,58.8,128,210,85,125,159,478,645,16,248,183,54,251,133,5732,555,1.53,0.86,0.56,1.42,0.77,1.34
Tottenham,22,19,375,228,175,158,42,170,292,58.2,122,203,49,154,137,512,552,23,333,223,71,345,188,6842,628,2.47,0.94,0.72,1.66,0.94,1.66
West Ham,28,19,309,182,157,116,36,147,268,54.9,121,213,86,127,163,472,605,14,227,180,71,288,162,5966,539,1.53,1.06,0.63,1.7,0.99,1.62
Wolves,25,19,374,207,190,128,56,186,337,55.2,151,217,78,139,169,543,586,19,253,205,42,314,159,6286,540,0.79,0.9,0.55,1.45,0.82,1.37
