Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,,,,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,24,19,8483,10220,83,"147,045",45253,3752,4156,90.3,3975,4456,89.2,606,1182,51.3,25,22.5,21.5,2.5,204,702,193,31,844,2.95,1.8,1.18,2.98,1.67,2.86
Aston Villa,26,19,7209,8793,82,"124,835",43679,3244,3572,90.8,3152,3578,88.1,607,1179,51.5,21,16.1,14.1,4.9,164,520,142,26,632,2.63,1.14,0.85,1.98,1.14,1.98
Bournemouth,24,19,6853,8875,77.2,"120,156",42345,3076,3496,88,2962,3472,85.3,642,1408,45.6,14,17.2,15.9,-3.2,178,638,168,47,739,2.16,1.55,0.91,2.45,1.42,2.33
Brentford,21,19,6060,7987,75.9,"111,303",42303,2569,2990,85.9,2656,3165,83.9,689,1440,47.8,14,17.4,15.2,-3.4,128,446,124,32,554,1.89,1.48,0.91,2.39,1.19,2.1
Brighton,25,19,7772,9476,82,"135,538",46126,3508,3888,90.2,3421,3881,88.1,663,1229,53.9,15,19.6,15.5,-4.6,182,613,137,47,710,2.05,1.59,1.03,2.62,1.39,2.42
Burnley,24,19,5920,7872,75.2,"103,125",38762,2863,3252,88,2333,2819,82.8,551,1321,41.7,14,12.2,11,1.8,125,467,108,29,496,1.68,0.91,0.64,1.55,0.83,1.47
Chelsea,25,19,9004,10696,84.2,"154,189",49572,4188,4553,92,4033,4468,90.3,637,1266,50.3,24,25.8,22.2,-1.8,204,687,165,31,797,2.84,1.71,1.36,3.07,1.63,2.99
Crystal Palace,23,19,5924,7891,75.1,"107,573",40845,2510,2939,85.4,2681,3154,85,605,1355,44.6,12,20,18.5,-8,147,460,129,31,619,1.53,1.64,1.05,2.69,1.47,2.53
Everton,20,19,5994,7895,75.9,"110,776",40750,2577,2952,87.3,2679,3193,83.9,646,1375,47,16,16.8,16,-0.8,150,507,139,39,605,1.79,1.15,0.88,2.03,1.11,1.99
Fulham,23,19,7927,9753,81.3,"140,799",47338,3397,3783,89.8,3662,4139,88.5,716,1350,53,16,15.9,16.5,0.1,170,594,166,47,727,2,1.14,0.84,1.97,1.1,1.93
Leeds United,23,19,6634,8513,77.9,"118,380",41492,2847,3235,88,2968,3427,86.6,619,1336,46.3,10,15.9,14.4,-5.9,159,481,116,43,574,1.74,1.41,0.84,2.25,1.28,2.12
Liverpool,23,19,9457,11308,83.6,"159,603",52710,4532,4972,91.2,4026,4527,88.9,697,1307,53.3,20,23.5,19.9,-3.5,229,905,197,38,1010,2.53,1.59,1.24,2.83,1.55,2.79
Manchester City,24,19,9963,11529,86.4,"154,822",46489,5347,5762,92.8,3762,4192,89.7,568,1010,56.2,33,30.1,26.1,2.9,210,737,185,34,814,3.79,1.89,1.58,3.48,1.81,3.4
Manchester Utd,26,19,7529,9474,79.5,"130,216",46403,3526,3982,88.5,3106,3642,85.3,686,1330,51.6,20,22.1,20.2,-2.1,227,623,171,48,782,2.58,1.77,1.16,2.93,1.61,2.78
Newcastle Utd,24,19,7623,9511,80.1,"133,863",47633,3454,3885,88.9,3332,3847,86.6,685,1369,50,13,18.9,17,-5.9,177,664,170,50,847,1.89,1.4,1,2.4,1.28,2.27
Nott'ham Forest,27,19,7546,9429,80,"131,051",46155,3576,3959,90.3,3209,3712,86.4,640,1372,46.6,11,16.9,16.5,-5.9,173,682,177,57,822,1.47,1.17,0.89,2.06,1.13,2.02
Sunderland,26,19,5808,7660,75.8,"105,931",38558,2471,2834,87.2,2567,3030,84.7,615,1345,45.7,13,10.7,10.2,2.3,127,487,117,28,560,1.53,0.86,0.56,1.42,0.77,1.34
Tottenham,22,19,6924,8802,78.7,"125,573",43286,2898,3256,89,3264,3740,87.3,640,1392,46,21,13.7,12.6,7.3,133,552,124,46,633,2.47,0.94,0.72,1.66,0.94,1.66
West Ham,28,19,6014,7782,77.3,"103,386",38204,2895,3240,89.4,2352,2747,85.6,580,1304,44.5,11,12,10.4,-1,136,446,108,26,547,1.53,1.06,0.63,1.7,0.99,1.62
Wolves,25,19,6337,8160,77.7,"118,420",42759,2629,3061,85.9,2889,3353,86.2,690,1395,49.5,6,10.4,11.1,-4.4,118,519,137,67,544,0.79,0.9,0.55,1.45,0.82,1.37
