Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,,,,,,,,,,
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,24,58.4,19,12292,1070,"3,268",5631,3495,623,12289,331,142,42.9,149,45,6974,38497,20414,411,287,118,275,150,8365,832,2.95,1.8,1.18,2.98,1.67,2.86
Aston Villa,26,51.5,19,10845,1575,"3,966",4546,2425,402,10845,350,132,37.7,170,48.6,6427,32583,16508,265,193,67,244,224,7079,624,2.63,1.14,0.85,1.98,1.14,1.98
Bournemouth,24,51.4,19,11280,1205,"3,516",4839,3060,493,11276,364,154,42.3,168,46.2,6228,34619,19188,365,282,97,306,156,6789,732,2.16,1.55,0.91,2.45,1.42,2.33
Brentford,21,45.8,19,10334,1391,"3,841",4431,2167,411,10327,329,123,37.4,175,53.2,5029,25557,12417,225,156,70,308,162,5990,546,1.89,1.48,0.91,2.39,1.19,2.1
Brighton,25,52.1,19,11786,1363,"4,011",5081,2815,481,11781,380,162,42.6,180,47.4,7023,37672,20777,389,242,106,324,194,7665,703,2.05,1.59,1.03,2.62,1.39,2.42
Burnley,24,42.1,19,10184,1355,"3,573",4527,2175,328,10182,237,73,30.8,135,57,5191,23149,11568,195,151,54,277,159,5886,491,1.68,0.91,0.64,1.55,0.83,1.47
Chelsea,25,58.7,19,12822,1226,"3,830",6035,3088,503,12820,378,152,40.2,173,45.8,7899,38430,20482,400,243,124,310,159,8914,783,2.84,1.71,1.36,3.07,1.63,2.99
Crystal Palace,23,43.4,19,10266,1290,"3,805",4368,2194,455,10262,228,83,36.4,115,50.4,5208,24875,13046,251,184,59,275,158,5880,614,1.53,1.64,1.05,2.69,1.47,2.53
Everton,20,43.1,19,10281,1241,"3,463",4174,2753,430,10280,336,114,33.9,178,53,5362,27242,13507,273,222,83,329,165,5943,594,1.79,1.15,0.88,2.03,1.11,1.99
Fulham,23,51.5,19,11979,1483,"4,327",5158,2578,450,11978,290,119,41,141,48.6,6807,35883,18542,345,235,83,284,157,7864,717,2,1.14,0.84,1.97,1.1,1.93
Leeds United,23,46.1,19,10786,1253,"3,745",4852,2315,409,10783,316,115,36.4,162,51.3,5668,29470,15289,271,192,74,290,158,6569,567,1.74,1.41,0.84,2.25,1.28,2.12
Liverpool,23,61.3,19,13506,1178,"3,646",6091,3868,575,13505,342,157,45.9,156,45.6,8304,40288,22124,440,309,129,303,149,9380,1005,2.53,1.59,1.24,2.83,1.55,2.79
Manchester City,24,58.6,19,13705,1161,"3,804",6287,3716,590,13703,456,204,44.7,194,42.5,8633,45203,24401,510,382,169,268,179,9889,805,3.79,1.89,1.58,3.48,1.81,3.4
Manchester Utd,26,53.3,19,11824,1209,"3,487",5396,3045,518,11820,296,119,40.2,147,49.7,6296,31838,17026,365,249,109,315,166,7462,778,2.58,1.77,1.16,2.93,1.61,2.78
Newcastle Utd,24,51.9,19,11694,1136,"3,507",5281,3012,452,11690,316,127,40.2,144,45.6,6748,32222,16053,316,208,78,280,159,7564,840,1.89,1.4,1,2.4,1.28,2.27
Nott'ham Forest,27,50.9,19,11637,1159,"3,654",4980,3120,420,11636,330,141,42.7,160,48.5,6506,32691,16663,335,262,73,318,153,7493,811,1.47,1.17,0.89,2.06,1.13,2.02
Sunderland,26,42,19,9835,1348,"3,651",4155,2117,332,9833,243,103,42.4,120,49.4,5348,27866,14484,248,183,54,251,133,5732,555,1.53,0.86,0.56,1.42,0.77,1.34
Tottenham,22,50.8,19,11160,1333,"4,008",4652,2636,396,11160,396,170,42.9,187,47.2,5911,32028,15907,333,223,71,345,188,6842,628,2.47,0.94,0.72,1.66,0.94,1.66
West Ham,28,42.2,19,10101,1361,"3,606",4410,2181,328,10099,308,129,41.9,142,46.1,4973,26089,12552,227,180,71,288,162,5966,539,1.53,1.06,0.63,1.7,0.99,1.62
Wolves,25,45,19,10464,1357,"3,641",4684,2246,368,10462,283,122,43.1,126,44.5,5416,27850,14027,253,205,42,314,159,6286,540,0.79,0.9,0.55,1.45,0.82,1.37
