,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,24,26.5,58.4,19,209,"1,710",19,34,25,59,31,3,3,26,0,34.2,31.8,22.5,54.3,411,844,1.79,1.32,3.11,1.63,2.95,1.8,1.18,2.98,1.67,2.86
Aston Villa,26,28.4,51.5,19,209,"1,710",19,29,21,50,29,0,0,31,1,21.7,21.7,16.1,37.7,265,632,1.53,1.11,2.63,1.53,2.63,1.14,0.85,1.98,1.14,1.98
Bournemouth,24,25.8,51.4,19,209,"1,710",19,29,14,43,27,2,3,45,1,29.4,27,17.2,44.3,365,739,1.53,0.74,2.26,1.42,2.16,1.55,0.91,2.45,1.42,2.33
Brentford,21,25.7,45.8,19,209,"1,710",19,27,14,41,22,5,7,37,0,28.1,22.6,17.4,40,225,554,1.42,0.74,2.16,1.16,1.89,1.48,0.91,2.39,1.19,2.1
Brighton,25,25.8,52.1,19,209,"1,710",19,27,15,42,24,3,5,49,0,30.3,26.4,19.6,46,389,710,1.42,0.79,2.21,1.26,2.05,1.59,1.03,2.62,1.39,2.42
Burnley,24,27.8,42.1,19,209,"1,710",19,20,14,34,18,2,2,28,2,17.3,15.8,12.2,27.9,195,496,1.05,0.74,1.79,0.95,1.68,0.91,0.64,1.55,0.83,1.47
Chelsea,25,24.7,58.7,19,209,"1,710",19,32,24,56,30,2,2,43,4,32.6,31,25.8,56.8,400,797,1.68,1.26,2.95,1.58,2.84,1.71,1.36,3.07,1.63,2.99
Crystal Palace,23,26.9,43.4,19,209,"1,710",19,21,12,33,17,4,4,33,0,31.1,28,20,48,251,619,1.11,0.63,1.74,0.89,1.53,1.64,1.05,2.69,1.47,2.53
Everton,20,28.1,43.1,19,209,"1,710",19,19,16,35,18,1,1,37,1,21.8,21,16.8,37.8,273,605,1,0.84,1.84,0.95,1.79,1.15,0.88,2.03,1.11,1.99
Fulham,23,28.6,51.5,19,209,"1,710",19,23,16,39,22,1,1,41,0,21.6,20.8,15.9,36.7,345,727,1.21,0.84,2.05,1.16,2,1.14,0.84,1.97,1.1,1.93
Leeds United,23,27,46.1,19,209,"1,710",19,25,10,35,23,2,3,29,0,26.8,24.3,15.9,40.2,271,574,1.32,0.53,1.84,1.21,1.74,1.41,0.84,2.25,1.28,2.12
Liverpool,23,27,61.3,19,209,"1,710",19,29,20,49,28,1,1,33,0,30.2,29.5,23.5,53,440,1010,1.53,1.05,2.58,1.47,2.53,1.59,1.24,2.83,1.55,2.79
Manchester City,24,25.8,58.6,19,209,"1,710",19,40,33,73,39,1,2,31,0,36,34.4,30.1,64.5,510,814,2.11,1.74,3.84,2.05,3.79,1.89,1.58,3.48,1.81,3.4
Manchester Utd,26,26.3,53.3,19,209,"1,710",19,31,20,51,29,2,4,28,1,33.6,30.6,22.1,52.7,365,782,1.63,1.05,2.68,1.53,2.58,1.77,1.16,2.93,1.61,2.78
Newcastle Utd,24,27.4,51.9,19,209,"1,710",19,26,13,39,23,3,3,26,2,26.6,24.3,18.9,43.2,316,847,1.37,0.68,2.05,1.21,1.89,1.4,1,2.4,1.28,2.27
Nott'ham Forest,27,26.2,50.9,19,209,"1,710",19,18,11,29,17,1,1,32,0,22.3,21.5,16.9,38.4,335,822,0.95,0.58,1.53,0.89,1.47,1.17,0.89,2.06,1.13,2.02
Sunderland,26,25.9,42,19,209,"1,710",19,18,13,31,16,2,2,37,2,16.3,14.7,10.7,25.4,248,560,0.95,0.68,1.63,0.84,1.53,0.86,0.56,1.42,0.77,1.34
Tottenham,22,25.9,50.8,19,209,"1,710",19,26,21,47,26,0,0,50,2,17.8,17.8,13.7,31.5,333,633,1.37,1.11,2.47,1.37,2.47,0.94,0.72,1.66,0.94,1.66
West Ham,28,27,42.2,19,209,"1,710",19,20,11,31,18,2,2,32,2,20.2,18.8,12,30.9,227,547,1.05,0.58,1.63,0.95,1.53,1.06,0.63,1.7,0.99,1.62
Wolves,25,26.8,45,19,209,"1,710",19,10,6,16,9,1,2,40,2,17.2,15.6,10.4,26,253,544,0.53,0.32,0.84,0.47,0.79,0.9,0.55,1.45,0.82,1.37
